county,year,total_enrollees,population,per_capita_enrollment,minimum_wage
Del Norte,2020,136155,27616,4.93029403244496,12
Del Norte,2021,144689,27581,5.245966426162938,13
Del Norte,2022,149662,26758,5.593168398236042,14
Del Norte,2023,154085,26571,5.798991381581423,15.5
Del Norte,2024,149005,27009,5.516864748787441,16
El Dorado,2016,357598,185976,1.92281799802125,10
El Dorado,2017,365304,188679,1.936113716947832,10.5
El Dorado,2018,355038,190746,1.861312950206033,11
El Dorado,2019,344738,192843,1.7876614655445102,12
El Dorado,2020,353485,191250,1.8482875816993465,12
El Dorado,2021,398051,193724,2.05473250603952,13
El Dorado,2022,431205,193071,2.2334011840203862,14
El Dorado,2023,483791,192440,2.513983579297443,15.5
El Dorado,2024,470209,192823,2.4385524548420054,16
Fresno,2016,0,976830,0,10
Fresno,2017,0,985238,0,10.5
Fresno,2018,2025467,991950,2.0419043298553357,11
Fresno,2019,4777919,999101,4.782218214174543,12
Fresno,2020,4832901,1009613,4.786884677594286,12
Fresno,2021,5234064,1012879,5.167511617873409,13
Fresno,2022,5609661,1017107,5.51531058187585,14
Fresno,2023,6095956,1019899,5.977019293086864,15.5
Fresno,2024,6122264,1024125,5.97804369583791,16
Glenn,2016,116141,27840,4.17173132183908,10
Glenn,2017,119791,27926,4.289586765021843,10.5
Glenn,2018,119991,27967,4.290449458290127,11
Glenn,2019,119872,28393,4.221885676046913,12
Glenn,2020,123882,28889,4.288206583820831,12
Glenn,2021,134826,28714,4.6954795570105174,13
Glenn,2022,144302,28371,5.086250044059074,14
Glenn,2023,159595,28190,5.661404753458673,15.5
Glenn,2024,164179,28304,5.800558224985868,16
Humboldt,2016,617764,136290,4.53271700051361,10
Humboldt,2017,630992,136507,4.622414967730593,10.5
Humboldt,2018,627317,136244,4.604364228883473,11
Humboldt,2019,626033,135558,4.618192950618924,12
Humboldt,2020,640317,136324,4.6970232680965935,12
Humboldt,2021,686913,134978,5.089073774985553,13
Humboldt,2022,720098,135013,5.333545658566212,14
Humboldt,2023,741656,134009,5.534374556932743,15.5
Humboldt,2024,708419,132380,5.351405046079468,16
Imperial,2016,0,180179,0,10
Imperial,2017,0,181649,0,10.5
Imperial,2018,0,181523,0,11
Imperial,2019,0,181215,0,12
Imperial,2020,0,179730,0,12
Imperial,2021,0,179206,0,13
Imperial,2022,0,179767,0,14
Imperial,2023,0,180585,0,15.5
Imperial,2024,1169110,181724,6.433437520635689,16
Inyo,2016,48300,17922,2.6950117174422497,10
Inyo,2017,46325,17868,2.592623684799642,10.5
Inyo,2018,46959,17946,2.616683383483785,11
Inyo,2019,44772,18039,2.4819557625145516,12
Inyo,2020,48756,18999,2.566240328438339,12
Inyo,2021,54812,18920,2.8970401691331924,13
Inyo,2022,59462,18745,3.1721525740197385,14
Inyo,2023,67246,18548,3.625512184602113,15.5
Inyo,2024,59054,18485,3.194698404111442,16
Kern,2016,0,880856,0,10
Kern,2017,0,887356,0,10.5
Kern,2018,1634993,893758,1.8293464226334195,11
Kern,2019,3906087,900202,4.33912277466613,12
Kern,2020,4057708,906124,4.478093505966071,12
Kern,2021,4485363,912782,4.9139476895907235,13
Kern,2022,5025907,917293,5.479063941401494,14
Kern,2023,5527048,916646,6.029642850129712,15.5
Kern,2024,5508055,922529,5.970603634140499,16
Kings,2016,0,149382,0,10
Kings,2017,0,149665,0,10.5
Kings,2018,242078,151382,1.5991201067498118,11
Kings,2019,585920,152940,3.831044854191186,12
Kings,2020,603252,152797,3.9480618074962206,12
