county,fips,longitude,latitude,consortium,year,elderly calfresh,age 18-59 calfresh,children calfresh,esl calfresh,wic recipients reachable,pct receiving wic,total population,elderly population,children population,esl population,ssi recipients,total_calfresh,calfresh_per_capita,unnamed: 0,countyfip,pct_foodstmp,median_income,count
san diego,US-06073,-116.693716,33.019645,CalWIN,2019,40827,121468,105574,85038.0,,,3357442,668905,758196,210717.0,72455.66666666667,267869,0.07978365672437528,196,73,0.930729846400964,105000.0,29883
san francisco,US-06075,-122.4847727,37.759845,CalWIN,2019,24223,24448,13761,29601.0,,,889360,201195,133134,93982.0,34245.333333333336,62432,0.07019879463884142,197,75,0.940046211844826,162000.0,8223
san joaquin,US-06077,-120.9449271,37.889845,C-IV,2019,9251,42221,45457,16098.0,,,771700,143011,195068,60989.0,25468.58333333333,96929,0.1256045095244266,198,77,0.836389684813754,85375.0,6980
san luis obispo,US-06079,-120.1080592,35.34633,CalWIN,2019,2193,7917,5853,2418.0,,,278902,75496,49559,8050.0,3670.4166666666665,15963,0.05723515786907229,199,79,0.941417910447761,105700.0,2680
san mateo,US-06081,-122.2406398,37.407705,CalWIN,2019,4566,7704,9310,8493.0,,,776252,191894,160174,53510.0,8932.916666666666,21580,0.027800250434137367,200,81,0.965937657114128,182600.0,7956
santa barbara,US-06083,-120.0351675,34.743715,CalWIN,2019,3926,17198,18213,12643.0,,,454529,94428,99782,46579.0,7495.0,39337,0.08654453291209142,201,83,0.904568068747173,100000.0,4422
santa clara,US-06085,-121.6161794,37.18939,CalWIN,2019,19641,31022,31177,34223.0,,,1961117,401564,445263,159929.0,38990.25,81840,0.04173131944702942,202,85,0.95519066224838,169500.0,20219
santa cruz,US-06087,-122.0401593,37.06834,CalWIN,2019,3146,11282,9244,7009.0,,,274545,65645,53106,19308.0,4402.916666666667,23672,0.0862226593090386,203,87,0.922151184655886,140000.0,2659
shasta,US-06089,-122.0883555,40.735175,C-IV,2019,2812,12871,8248,373.0,,,178029,48209,38121,1632.0,8528.25,23931,0.1344219200242657,204,89,0.899636693914623,81000.0,2202
solano,US-06095,-121.6688337,38.2894915,CalWIN,2019,4711,18498,15085,5037.0,,,442145,101394,99071,20761.0,10464.333333333334,38294,0.08660959639937124,205,95,0.926221804511278,112000.0,4256
sonoma,US-06097,-122.7518161,38.481733,CalWIN,2019,4687,11873,10794,6586.0,,,498480,137772,94462,26234.0,7508.666666666667,27354,0.05487481945113144,206,97,0.95371142618849,111890.0,4796
