County,FIPS,Longitude,Latitude,Consortium,Year,Elderly CalFresh,Age 18-59 CalFresh,Children CalFresh,ESL CalFresh,WIC Recipients Reachable,Pct Receiving WIC,Total Population,Elderly Population,Children Population,ESL Population,SSI Recipients
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2016,1559,9132,7974,3280.0,401.0,0.573255814,278917,75907,49961,10287.0,4063.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2016,3684,10858,15490,13095.0,904.0,0.640888523,768122,171899,161747,54522.0,9952.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2016,2277,15072,21923,14873.0,1474.0,0.699749687,448353,89021,100705,51832.0,8004.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2016,10336,43715,50104,44755.0,3295.0,0.594197975,1930215,364511,442750,167482.0,41718.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2016,2393,11881,12357,9501.0,863.0,0.661349693,276249,60888,57974,20762.0,4764.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,2016,1506,13777,9672,436.0,727.0,0.677409262,178208,48189,37658,1963.0,9165.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,2016,43,160,71,,,,3140,1228,465,35.0,85.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2016,493,3597,2798,226.0,155.0,0.636554622,44372,14672,8676,755.0,2380.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2016,2927,21221,19429,6797.0,1035.0,0.5419684,434102,92321,100398,22558.0,11385.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2016,3556,15130,16175,10272.0,744.0,0.595316352,503953,130857,98968,26781.0,8201.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2016,4334,41704,42829,16575.0,2341.0,0.586291686,545008,96403,145017,53504.0,19620.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2016,573,6079,6627,2234.0,287.0,0.645255474,98191,19553,25175,9121.0,3760.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2016,553,4881,4816,1215.0,270.0,0.613484646,64098,15747,15435,2385.0,2998.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2016,150,1067,571,,33.0,0.645833333,13482,4929,2167,105.0,629.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2016,5671,51327,67261,40041.0,2338.0,0.641883399,468235,73460,144339,66725.0,17540.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2016,567,3092,1896,90.0,104.0,0.674121406,54282,18652,8734,483.0,1552.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2016,5900,31723,39335,28114.0,1582.0,0.6245,854383,176546,199303,82290.0,14767.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2016,1406,10828,9201,5304.0,480.0,0.602506091,216866,36568,48381,12693.0,5184.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2016,542,6623,6264,1460.0,323.0,0.670113754,76129,13142,21489,3461.0,3704.0
Statewide,,,,,2017,293636,1836798,2039249,1179480.0,,,39693627,7958547,9203689,3664918.0,1154130.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2017,11104,50519,48679,34447.0,,,1655752,328261,346873,136038.0,45115.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2017,14,75,52,0.0,,,1143,398,198,,36.0
Amador,US-06005,-120.238969,38.46328,C-IV,2017,303,1647,1097,71.0,,,37267,13105,5607,414.0,672.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2017,2062,17677,12087,2244.0,,,226478,56416,45689,5035.0,10378.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2017,599,2805,1638,91.0,,,44818,16898,7251,290.0,988.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,2017,116,612,871,405.0,,,22612,4594,6120,2865.0,564.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2017,4737,27961,31871,13710.0,,,1143494,258293,251140,69051.0,23320.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2017,298,2838,2174,194.0,,,27063,6800,5811,452.0,1715.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2017,1273,6560,4507,752.0,,,185090,53135,36164,3116.0,2823.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2017,8782,95415,119527,53200.0,,,999902,169283,280718,107477.0,41278.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2017,210,1552,1711,582.0,,,29204,6352,7482,2921.0,1061.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2017,1519,12167,7142,883.0,,,136835,33792,27901,2263.0,5236.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2017,3051,19230,20091,21796.0,,,189376,33277,54792,34137.0,9988.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2017,200,964,803,179.0,,,18693,5837,3868,447.0,366.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2017,7901,67421,87057,34717.0,,,897727,141680,255195,84362.0,30862.0
Kings,US-06031,-119.6135104,36.138775,C-IV,2017,1109,10553,12410,5356.0,,,150441,22007,45775,13954.0,4586.0
Lake,US-06033,-122.9624445,39.124455,C-IV,2017,1139,6308,4619,956.0,,,65161,19552,13580,2024.0,3576.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2017,199,1699,1358,53.0,,,30652,7058,5289,615.0,905.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2017,73289,474008,538420,376091.0,,,10288515,1987419,2295832,1332866.0,374280.0
Madera,US-06039,-119.84174,37.27052,C-IV,2017,1038,10261,16653,9131.0,,,157296,30181,42323,19613.0,4467.0
Marin,US-06041,-122.870429,38.068145,C-IV,2017,1341,4205,4444,3839.0,,,264413,78078,52532,9885.0,2720.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2017,238,1017,631,41.0,,,18058,6658,2863,166.0,426.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2017,1032,6053,4983,1579.0,,,89329,25395,19116,4280.0,3031.0
Merced,US-06047,-120.1246993,37.18687,C-IV,2017,2420,22947,29720,13709.0,,,275926,43155,79909,33572.0,10549.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,2017,66,595,516,37.0,,,9431,3135,1781,274.0,410.0
