Year,FIPS,Race,AgeGroup,Population
2010,6037,MR NH,65+,23308
2010,6037,NHPI NH,0–18,12650
2010,6037,NHPI NH,19–34,12723
2010,6037,NHPI NH,35–64,17429
2010,6037,NHPI NH,65+,3467
2010,6037,White NH,0–18,887244
2010,6037,White NH,19–34,1157901
2010,6037,White NH,35–64,2463507
2010,6037,White NH,65+,989170
2010,6039,AIAN NH,0–18,879
2010,6039,AIAN NH,19–34,727
2010,6039,AIAN NH,35–64,1567
2010,6039,AIAN NH,65+,480
2010,6039,Asian NH,0–18,1267
2010,6039,Asian NH,19–34,1145
2010,6039,Asian NH,35–64,2154
2010,6039,Asian NH,65+,620
2010,6039,Black NH,0–18,1651
2010,6039,Black NH,19–34,2862
2010,6039,Black NH,35–64,4964
2010,6039,Black NH,65+,940
2010,6039,Hispanic,0–18,63409
2010,6039,Hispanic,19–34,44143
2010,6039,Hispanic,35–64,46730
2010,6039,Hispanic,65+,7629
2010,6039,MR NH,0–18,1794
2010,6039,MR NH,19–34,802
2010,6039,MR NH,35–64,1433
2010,6039,MR NH,65+,463
2010,6039,NHPI NH,0–18,17
2010,6039,NHPI NH,19–34,72
2010,6039,NHPI NH,35–64,117
2010,6039,NHPI NH,65+,16
2010,6039,White NH,0–18,21443
2010,6039,White NH,19–34,18043
2010,6039,White NH,35–64,51288
2010,6039,White NH,65+,24333
2010,6041,AIAN NH,0–18,189
2010,6041,AIAN NH,19–34,233
2010,6041,AIAN NH,35–64,570
2010,6041,AIAN NH,65+,100
2010,6041,Asian NH,0–18,5318
2010,6041,Asian NH,19–34,5035
2010,6041,Asian NH,35–64,13942
2010,6041,Asian NH,65+,3446
2010,6041,Black NH,0–18,2394
2010,6041,Black NH,19–34,3186
2010,6041,Black NH,35–64,6941
2010,6041,Black NH,65+,1059
2010,6041,Hispanic,0–18,24051
2010,6041,Hispanic,19–34,24810
2010,6041,Hispanic,35–64,26164
2010,6041,Hispanic,65+,3305
2010,6041,MR NH,0–18,6998
2010,6041,MR NH,19–34,2268
2010,6041,MR NH,35–64,4008
2010,6041,MR NH,65+,678
2010,6041,NHPI NH,0–18,173
2010,6041,NHPI NH,19–34,162
2010,6041,NHPI NH,35–64,474
2010,6041,NHPI NH,65+,85
2010,6041,White NH,0–18,70248
2010,6041,White NH,19–34,38155
2010,6041,White NH,35–64,185138
2010,6041,White NH,65+,76029
2010,6043,AIAN NH,0–18,209
2010,6043,AIAN NH,19–34,201
2010,6043,AIAN NH,35–64,386
2010,6043,AIAN NH,65+,149
2010,6043,Asian NH,0–18,66
2010,6043,Asian NH,19–34,72
2010,6043,Asian NH,35–64,214
2010,6043,Asian NH,65+,52
2010,6043,Black NH,0–18,32
2010,6043,Black NH,19–34,58
2010,6043,Black NH,35–64,140
2010,6043,Black NH,65+,28
2010,6043,Hispanic,0–18,1117
2010,6043,Hispanic,19–34,711
2010,6043,Hispanic,35–64,1193
2010,6043,Hispanic,65+,349
2010,6043,MR NH,0–18,331
2010,6043,MR NH,19–34,191
2010,6043,MR NH,35–64,389
2010,6043,MR NH,65+,161
2010,6043,NHPI NH,0–18,12
2010,6043,NHPI NH,19–34,8
2010,6043,NHPI NH,35–64,28
2010,6043,NHPI NH,65+,4
2010,6043,White NH,0–18,5054
2010,6043,White NH,19–34,4101
2010,6043,White NH,35–64,14291
2010,6043,White NH,65+,6932
2010,6045,AIAN NH,0–18,2211
2010,6045,AIAN NH,19–34,1521
2010,6045,AIAN NH,35–64,2553
2010,6045,AIAN NH,65+,735
2010,6045,Asian NH,0–18,619
2010,6045,Asian NH,19–34,470
2010,6045,Asian NH,35–64,1400
2010,6045,Asian NH,65+,378
2010,6045,Black NH,0–18,242
2010,6045,Black NH,19–34,328
2010,6045,Black NH,35–64,435
2010,6045,Black NH,65+,94
2010,6045,Hispanic,0–18,15773
2010,6045,Hispanic,19–34,10490
2010,6045,Hispanic,35–64,11364
2010,6045,Hispanic,65+,1518
2010,6045,MR NH,0–18,1933
2010,6045,MR NH,19–34,959
2010,6045,MR NH,35–64,1549
2010,6045,MR NH,65+,317
2010,6045,NHPI NH,0–18,36
2010,6045,NHPI NH,19–34,49
2010,6045,NHPI NH,35–64,86
2010,6045,NHPI NH,65+,18
2010,6045,White NH,0–18,20349
2010,6045,White NH,19–34,19397
2010,6045,White NH,35–64,56833
2010,6045,White NH,65+,24040
2010,6047,AIAN NH,0–18,488
2010,6047,AIAN NH,19–34,534
2010,6047,AIAN NH,35–64,994
2010,6047,AIAN NH,65+,267
2010,6047,Asian NH,0–18,12383
2010,6047,Asian NH,19–34,10443
2010,6047,Asian NH,35–64,11310
2010,6047,Asian NH,65+,3018
2010,6047,Black NH,0–18,4978
2010,6047,Black NH,19–34,4060
2010,6047,Black NH,35–64,6666
2010,6047,Black NH,65+,1982
2010,6047,Hispanic,0–18,114590
2010,6047,Hispanic,19–34,72624
2010,6047,Hispanic,35–64,81274
2010,6047,Hispanic,65+,13660
2010,6047,MR NH,0–18,3842
2010,6047,MR NH,19–34,1907
2010,6047,MR NH,35–64,2299
2010,6047,MR NH,65+,438
2010,6047,NHPI NH,0–18,251
2010,6047,NHPI NH,19–34,299
2010,6047,NHPI NH,35–64,370
2010,6047,NHPI NH,65+,62
2010,6047,White NH,0–18,35165
2010,6047,White NH,19–34,31358
2010,6047,White NH,35–64,68598
2010,6047,White NH,65+,28638
2010,6049,AIAN NH,0–18,147
2010,6049,AIAN NH,19–34,123
2010,6049,AIAN NH,35–64,248
2010,6049,AIAN NH,65+,70
2010,6049,Asian NH,0–18,24
2010,6049,Asian NH,19–34,26
2010,6049,Asian NH,35–64,66
2010,6049,Asian NH,65+,29
2010,6049,Black NH,0–18,24
2010,6049,Black NH,19–34,54
2010,6049,Black NH,35–64,56
2010,6049,Black NH,65+,21
2010,6049,Hispanic,0–18,1139
2010,6049,Hispanic,19–34,560
2010,6049,Hispanic,35–64,890
2010,6049,Hispanic,65+,134
2010,6049,MR NH,0–18,149
2010,6049,MR NH,19–34,77
2010,6049,MR NH,35–64,160
2010,6049,MR NH,65+,49
2010,6049,NHPI NH,0–18,10
2010,6049,NHPI NH,19–34,8
2010,6049,NHPI NH,35–64,18
2010,6049,NHPI NH,65+,8
2010,6049,White NH,0–18,3007
2010,6049,White NH,19–34,1953
2010,6049,White NH,35–64,6846
2010,6049,White NH,65+,3503
2010,6051,AIAN NH,0–18,129
2010,6051,AIAN NH,19–34,82
2010,6051,AIAN NH,35–64,192
2010,6051,AIAN NH,65+,73
2010,6051,Asian NH,0–18,68
2010,6051,Asian NH,19–34,90
2010,6051,Asian NH,35–64,189
2010,6051,Asian NH,65+,35
2010,6051,Black NH,0–18,12
2010,6051,Black NH,19–34,40
2010,6051,Black NH,35–64,29
2010,6051,Black NH,65+,4
2010,6051,Hispanic,0–18,2863
2010,6051,Hispanic,19–34,2302
2010,6051,Hispanic,35–64,2150
2010,6051,Hispanic,65+,170
2010,6051,MR NH,0–18,195
2010,6051,MR NH,19–34,135
2010,6051,MR NH,35–64,133
2010,6051,MR NH,65+,16
2010,6051,NHPI NH,0–18,2
2010,6051,NHPI NH,19–34,7
2010,6051,NHPI NH,35–64,14
2010,6051,NHPI NH,65+,0
2010,6051,White NH,0–18,2970
2010,6051,White NH,19–34,4363
2010,6051,White NH,35–64,9497
2010,6051,White NH,65+,2453
2010,6053,AIAN NH,0–18,516
2010,6053,AIAN NH,19–34,631
2010,6053,AIAN NH,35–64,1275
2010,6053,AIAN NH,65+,342
2010,6053,Asian NH,0–18,9137
2010,6053,Asian NH,19–34,9594
2010,6053,Asian NH,35–64,21533
2010,6053,Asian NH,65+,7849
2010,6053,Black NH,0–18,3699
2010,6053,Black NH,19–34,5034
2010,6053,Black NH,35–64,11600
2010,6053,Black NH,65+,2502
2010,6053,Hispanic,0–18,170560
2010,6053,Hispanic,19–34,132880
2010,6053,Hispanic,35–64,138143
2010,6053,Hispanic,65+,19488
2010,6053,MR NH,0–18,7802
2010,6053,MR NH,19–34,4428
2010,6053,MR NH,35–64,5188
